"Model"                                ,"Socket"  ,"Form Factor" ,"Max Memory" ,"RAM Slots" ,"Color"          ,"Availability" ,"Price"  ,"imgUrl"
"Asus TUF GAMING B650-PLUS WIFI"       ,"AM5"     ,"ATX"         ,"128 GB"     ,          4 ,"Black"          ,(15)           ,212.00  ,"../../assets/img/motherboard/asus.jpg"
"MSI B550M PRO-VDH WIFI"               ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,"Black"          ,(106)          ,114.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus ROG STRIX Z790-E GAMING WIFI II" ,"LGA1700" ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(13)           ,479.99  ,"../../assets/img/motherboard/asus.jpg"
"MSI PRO B650-S WIFI"                  ,"AM5"     ,"ATX"         ,"192 GB"     ,          4 ,"Black"          ,(2)            ,169.99  ,"../../assets/img/motherboard/MSI.jpg"
"Asus Prime B450M-A II"                ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,                 ,(18)           ,71.98   ,"../../assets/img/motherboard/asus.jpg"
"Asus ROG STRIX B760-I GAMING WIFI"    ,"LGA1700" ,"Mini ITX"    ,"96 GB"      ,          2 ,"Black"          ,(13)           ,210.99  ,"../../assets/img/motherboard/asus.jpg"
"ASRock B550M Pro4"                    ,"AM4"     ,"Micro ATX"   ,"128 GB"     ,          4 ,"Silver / Black" ,(40)           ,99.99   ,"../../assets/img/motherboard/asrock.jpg"
"MSI PRO H610M-G DDR4"                 ,"LGA1700" ,"Micro ATX"   ,"64 GB"      ,          2 ,"Black / Silver" ,(4)            ,89.00   ,"../../assets/img/motherboard/MSI.jpg"
"MSI B450M PRO-VDH MAX"                ,"AM4"     ,"Micro ATX"   ,"64 GB"      ,          4 ,"Black / Silver" ,(38)           ,74.98   ,"../../assets/img/motherboard/MSI.jpg"
"MSI PRO A620M-E"                      ,"AM5"     ,"Micro ATX"   ,"96 GB"      ,          2 ,"Black"          ,(1)            ,74.95   ,"../../assets/img/motherboard/MSI.jpg"
"ASRock A520M-HDV"                     ,"AM4"     ,"Micro ATX"   ,"64 GB"      ,          2 ,"Black / Silver" ,(4)            ,67.98   ,"../../assets/img/motherboard/asrock.jpg"
"Gigabyte B650I AORUS ULTRA"           ,"AM5"     ,"Mini ITX"    ,"96 GB"      ,          2 ,"Black / Silver" ,(24)           ,229.99  ,"../../assets/img/motherboard/gigabyte.jpg"
"ASRock B650I Lightning Wifi"          ,"AM5"     ,"Mini ITX"    ,"96 GB"      ,          2 ,"Black"          ,(7)            ,199.99  ,"../../assets/img/motherboard/asrock.jpg"
